id,name,category,action,archetype,domain,intent,workflow_1,workflow_2,workflow_3,workflow_4,input_hint
"shopping-list-optimizer","Shopping List Optimizer","food & cooking","optimizer","optimize","Shopping List","Optimizer optimizes Shopping List workflows for better performance.","Audit shopping list flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"spice-selector","Spice Selector","food & cooking","finder","explore","Spice","Finder explores Spice options and prioritizes the strongest paths.","Frame spice search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"substitute-suggester","Substitute Suggester","food & cooking","suggester","coach","Substitute","Suggester gives targeted Substitute guidance with next actions.","Assess substitute baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"technique-teacher","Technique Teacher","food & cooking","teacher","coach","Technique","Teacher gives targeted Technique guidance with next actions.","Assess technique baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"temperature-translator","Temperature Translator","food & cooking","converter","quantify","Temperature","Converter turns Temperature input into clear metrics and decision-ready numbers.","Collect temperature inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"wine-pairing","Wine Pairing","food & cooking","pairing","coach","Wine","Pairing gives targeted Wine guidance with next actions.","Assess wine baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"brain-trainer","Brain Trainer","fun & games","trainer","coach","Brain","Trainer gives targeted Brain guidance with next actions.","Assess brain baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"creativity-booster","Creativity Booster","fun & games","optimizer","optimize","Creativity","Optimizer optimizes Creativity workflows for better performance.","Audit creativity flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"daily-challenge","Daily Challenge","fun & games","challenge","coach","Daily","Challenge gives targeted Daily guidance with next actions.","Assess daily baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"doodle-prompt","Doodle Prompt","fun & games","prompt","coach","Doodle","Prompt gives targeted Doodle guidance with next actions.","Assess doodle baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"entertainment-planner","Entertainment Planner","fun & games","planner","plan","Entertainment","Planner structures Entertainment input into a practical step-by-step plan.","Define entertainment objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"fortune-cookie-writer","Fortune Cookie Writer","fun & games","writer","coach","Fortune Cookie","Writer gives targeted Fortune Cookie guidance with next actions.","Assess fortune cookie baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"game-creator","Game Creator","fun & games","creator","generate","Game","Creator creates concrete Game outputs you can use immediately.","Interpret game direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"joke-generator","Joke Generator","fun & games","generator","generate","Joke","Generator creates concrete Joke outputs you can use immediately.","Interpret joke direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"lucky-number-generator","Lucky Number Generator","fun & games","generator","generate","Lucky Number","Generator creates concrete Lucky Number outputs you can use immediately.","Interpret lucky number direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"magic-8-ball-plus","Magic 8 Ball Plus","fun & games","plus","coach","Magic 8 Ball","Plus gives targeted Magic 8 Ball guidance with next actions.","Assess magic 8 ball baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"puzzle-generator","Puzzle Generator","fun & games","generator","generate","Puzzle","Generator creates concrete Puzzle outputs you can use immediately.","Interpret puzzle direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"random-fact","Random Fact","fun & games","fact","coach","Random","Fact gives targeted Random guidance with next actions.","Assess random baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"riddle-me-this","Riddle Me This","fun & games","this","coach","Riddle Me","This gives targeted Riddle Me guidance with next actions.","Assess riddle me baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"story-starter","Story Starter","fun & games","starter","coach","Story","Starter gives targeted Story guidance with next actions.","Assess story baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"trivia-time","Trivia Time","fun & games","time","coach","Trivia","Time gives targeted Trivia guidance with next actions.","Assess trivia baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"word-of-the-day","Word Of The Day","fun & games","day","coach","Word Of The","Day gives targeted Word Of The guidance with next actions.","Assess word of the baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"would-you-rather","Would You Rather","fun & games","rather","coach","Would You","Rather gives targeted Would You guidance with next actions.","Assess would you baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"body-metrics","Body Metrics","health & fitness","metrics","coach","Body","Metrics gives targeted Body guidance with next actions.","Assess body baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"breathing-buddy","Breathing Buddy","health & fitness","assistant","coach","Breathing","Assistant gives targeted Breathing guidance with next actions.","Assess breathing baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"calorie-calculator","Calorie Calculator","health & fitness","calculator","quantify","Calorie","Calculator turns Calorie input into clear metrics and decision-ready numbers.","Collect calorie inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"energy-ebbs","Energy Ebbs","health & fitness","ebbs","coach","Energy","Ebbs gives targeted Energy guidance with next actions.","Assess energy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"exercise-encyclopedia","Exercise Encyclopedia","health & fitness","encyclopedia","coach","Exercise","Encyclopedia gives targeted Exercise guidance with next actions.","Assess exercise baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"fitness-coach","Fitness Coach","health & fitness","coach","coach","Fitness","Coach gives targeted Fitness guidance with next actions.","Assess fitness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"fitness-progress","Fitness Progress","health & fitness","progress","coach","Fitness","Progress gives targeted Fitness guidance with next actions.","Assess fitness baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"form-checker","Form Checker","health & fitness","checker","inspect","Form","Checker reviews Form input, highlights signals, and flags risks.","Parse form context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"habit-health-score","Habit Health Score","health & fitness","score","coach","Habit Health","Score gives targeted Habit Health guidance with next actions.","Assess habit health baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"health-tracker","Health Tracker","health & fitness","tracker","inspect","Health","Tracker reviews Health input, highlights signals, and flags risks.","Parse health context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"heart-rate-zones","Heart Rate Zones","health & fitness","zones","coach","Heart Rate","Zones gives targeted Heart Rate guidance with next actions.","Assess heart rate baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"hydration-harmonizer","Hydration Harmonizer","health & fitness","harmonizer","coach","Hydration","Harmonizer gives targeted Hydration guidance with next actions.","Assess hydration baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"macro-mapper","Macro Mapper","health & fitness","mapper","explore","Macro","Mapper explores Macro options and prioritizes the strongest paths.","Frame macro search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"medication-reminder","Medication Reminder","health & fitness","reminder","coach","Medication","Reminder gives targeted Medication guidance with next actions.","Assess medication baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mindful-eating","Mindful Eating","health & fitness","eating","coach","Mindful","Eating gives targeted Mindful guidance with next actions.","Assess mindful baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mobility-monitor","Mobility Monitor","health & fitness","monitor","inspect","Mobility","Monitor reviews Mobility input, highlights signals, and flags risks.","Parse mobility context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"nutrition-analyzer","Nutrition Analyzer","health & fitness","analyzer","inspect","Nutrition","Analyzer reviews Nutrition input, highlights signals, and flags risks.","Parse nutrition context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"pain-point-mapper","Pain Point Mapper","health & fitness","mapper","explore","Pain Point","Mapper explores Pain Point options and prioritizes the strongest paths.","Frame pain point search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"posture-patrol","Posture Patrol","health & fitness","patrol","coach","Posture","Patrol gives targeted Posture guidance with next actions.","Assess posture baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"recovery-radar","Recovery Radar","health & fitness","monitor","inspect","Recovery","Monitor reviews Recovery input, highlights signals, and flags risks.","Parse recovery context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"rest-day-advisor","Rest Day Advisor","health & fitness","advisor","coach","Rest Day","Advisor gives targeted Rest Day guidance with next actions.","Assess rest day baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"sleep-debt-calculator","Sleep Debt Calculator","health & fitness","calculator","quantify","Sleep Debt","Calculator turns Sleep Debt input into clear metrics and decision-ready numbers.","Collect sleep debt inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"sleep-optimizer","Sleep Optimizer","health & fitness","optimizer","optimize","Sleep","Optimizer optimizes Sleep workflows for better performance.","Audit sleep flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"step-counter-plus","Step Counter Plus","health & fitness","plus","coach","Step Counter","Plus gives targeted Step Counter guidance with next actions.","Assess step counter baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"stretch-sequence","Stretch Sequence","health & fitness","sequence","coach","Stretch","Sequence gives targeted Stretch guidance with next actions.","Assess stretch baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"supplement-scheduler","Supplement Scheduler","health & fitness","scheduler","plan","Supplement","Scheduler structures Supplement input into a practical step-by-step plan.","Define supplement objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"symptom-tracker","Symptom Tracker","health & fitness","tracker","inspect","Symptom","Tracker reviews Symptom input, highlights signals, and flags risks.","Parse symptom context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"vitamin-validator","Vitamin Validator","health & fitness","validator","inspect","Vitamin","Validator reviews Vitamin input, highlights signals, and flags risks.","Parse vitamin context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"water-tracker","Water Tracker","health & fitness","tracker","inspect","Water","Tracker reviews Water input, highlights signals, and flags risks.","Parse water context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"workout-builder","Workout Builder","health & fitness","builder","plan","Workout","Builder structures Workout input into a practical step-by-step plan.","Define workout objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"chore-chart","Chore Chart","home & lifestyle","chart","coach","Chore","Chart gives targeted Chore guidance with next actions.","Assess chore baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"cleaning-scheduler","Cleaning Scheduler","home & lifestyle","scheduler","plan","Cleaning","Scheduler structures Cleaning input into a practical step-by-step plan.","Define cleaning objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"composting-companion","Composting Companion","home & lifestyle","companion","coach","Composting","Companion gives targeted Composting guidance with next actions.","Assess composting baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"declutter-guide","Declutter Guide","home & lifestyle","guide","coach","Declutter","Guide gives targeted Declutter guidance with next actions.","Assess declutter baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"decoration-ideas","Decoration Ideas","home & lifestyle","ideas","coach","Decoration","Ideas gives targeted Decoration guidance with next actions.","Assess decoration baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"emergency-kit","Emergency Kit","home & lifestyle","kit","coach","Emergency","Kit gives targeted Emergency guidance with next actions.","Assess emergency baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"energy-saver","Energy Saver","home & lifestyle","saver","coach","Energy","Saver gives targeted Energy guidance with next actions.","Assess energy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"garden-planner","Garden Planner","home & lifestyle","planner","plan","Garden","Planner structures Garden input into a practical step-by-step plan.","Define garden objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"home-security","Home Security","home & lifestyle","security","coach","Home","Security gives targeted Home guidance with next actions.","Assess home baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"home-value-tracker","Home Value Tracker","home & lifestyle","tracker","inspect","Home Value","Tracker reviews Home Value input, highlights signals, and flags risks.","Parse home value context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"interior-designer","Interior Designer","home & lifestyle","designer","generate","Interior","Designer creates concrete Interior outputs you can use immediately.","Interpret interior direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"inventory-manager","Inventory Manager","home & lifestyle","manager","plan","Inventory","Manager structures Inventory input into a practical step-by-step plan.","Define inventory objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"lifestyle-optimizer","Lifestyle Optimizer","home & lifestyle","optimizer","optimize","Lifestyle","Optimizer optimizes Lifestyle workflows for better performance.","Audit lifestyle flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"maintenance-reminder","Maintenance Reminder","home & lifestyle","reminder","coach","Maintenance","Reminder gives targeted Maintenance guidance with next actions.","Assess maintenance baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"manual-library","Manual Library","home & lifestyle","library","coach","Manual","Library gives targeted Manual guidance with next actions.","Assess manual baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"moving-checklist","Moving Checklist","home & lifestyle","checklist","coach","Moving","Checklist gives targeted Moving guidance with next actions.","Assess moving baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"neighbor-network","Neighbor Network","home & lifestyle","network","coach","Neighbor","Network gives targeted Neighbor guidance with next actions.","Assess neighbor baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"packing-optimizer","Packing Optimizer","home & lifestyle","optimizer","optimize","Packing","Optimizer optimizes Packing workflows for better performance.","Audit packing flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"pet-tracker","Pet Tracker","home & lifestyle","tracker","inspect","Pet","Tracker reviews Pet input, highlights signals, and flags risks.","Parse pet context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"plant-care","Plant Care","home & lifestyle","care","coach","Plant","Care gives targeted Plant guidance with next actions.","Assess plant baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"recycling-guide","Recycling Guide","home & lifestyle","guide","coach","Recycling","Guide gives targeted Recycling guidance with next actions.","Assess recycling baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"repair-guide","Repair Guide","home & lifestyle","guide","coach","Repair","Guide gives targeted Repair guidance with next actions.","Assess repair baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"room-planner","Room Planner","home & lifestyle","planner","plan","Room","Planner structures Room input into a practical step-by-step plan.","Define room objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"seasonal-tasks","Seasonal Tasks","home & lifestyle","tasks","coach","Seasonal","Tasks gives targeted Seasonal guidance with next actions.","Assess seasonal baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"service-directory","Service Directory","home & lifestyle","directory","coach","Service","Directory gives targeted Service guidance with next actions.","Assess service baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"smart-home-manager","Smart Home Manager","home & lifestyle","manager","plan","Home","Manager structures Home input into a practical step-by-step plan.","Define home objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"space-maximizer","Space Maximizer","home & lifestyle","maximizer","coach","Space","Maximizer gives targeted Space guidance with next actions.","Assess space baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"utility-tracker","Utility Tracker","home & lifestyle","tracker","inspect","Utility","Tracker reviews Utility input, highlights signals, and flags risks.","Parse utility context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"warranty-wallet","Warranty Wallet","home & lifestyle","wallet","coach","Warranty","Wallet gives targeted Warranty guidance with next actions.","Assess warranty baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"waste-reducer","Waste Reducer","home & lifestyle","reducer","coach","Waste","Reducer gives targeted Waste guidance with next actions.","Assess waste baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"analogy-architect","Analogy Architect","learning & memory","architect","plan","Analogy","Architect structures Analogy input into a practical step-by-step plan.","Define analogy objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"association-astronaut","Association Astronaut","learning & memory","astronaut","coach","Association","Astronaut gives targeted Association guidance with next actions.","Assess association baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"chunk-champion","Chunk Champion","learning & memory","champion","coach","Chunk","Champion gives targeted Chunk guidance with next actions.","Assess chunk baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"comprehension-compass","Comprehension Compass","learning & memory","navigator","explore","Comprehension","Navigator explores Comprehension options and prioritizes the strongest paths.","Frame comprehension search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"concept-connector","Concept Connector","learning & memory","connector","coach","Concept","Connector gives targeted Concept guidance with next actions.","Assess concept baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"concept-crystallizer","Concept Crystallizer","learning & memory","crystallizer","coach","Concept","Crystallizer gives targeted Concept guidance with next actions.","Assess concept baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"connection-cartographer","Connection Cartographer","learning & memory","cartographer","coach","Connection","Cartographer gives targeted Connection guidance with next actions.","Assess connection baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"context-compass","Context Compass","learning & memory","navigator","explore","Context","Navigator explores Context options and prioritizes the strongest paths.","Frame context search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"curiosity-catalyst","Curiosity Catalyst","learning & memory","catalyst","coach","Curiosity","Catalyst gives targeted Curiosity guidance with next actions.","Assess curiosity baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"experience-extractor","Experience Extractor","learning & memory","extractor","coach","Experience","Extractor gives targeted Experience guidance with next actions.","Assess experience baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"explanation-engine","Explanation Engine","learning & memory","engine","coach","Explanation","Engine gives targeted Explanation guidance with next actions.","Assess explanation baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"idea-incubator","Idea Incubator","learning & memory","incubator","coach","Idea","Incubator gives targeted Idea guidance with next actions.","Assess idea baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"insight-irrigator","Insight Irrigator","learning & memory","irrigator","coach","Insight","Irrigator gives targeted Insight guidance with next actions.","Assess insight baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"knowledge-gap-finder","Knowledge Gap Finder","learning & memory","finder","explore","Knowledge Gap","Finder explores Knowledge Gap options and prioritizes the strongest paths.","Frame knowledge gap search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"knowledge-knitter","🧶 Knowledge Knitter","learning & memory","knitter","coach","Knowledge","Knitter gives targeted Knowledge guidance with next actions.","Assess knowledge baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"knowledge-mapper","Knowledge Mapper","learning & memory","mapper","explore","Knowledge","Mapper explores Knowledge options and prioritizes the strongest paths.","Frame knowledge search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"learning-ladder","Learning Ladder","learning & memory","ladder","coach","Learning","Ladder gives targeted Learning guidance with next actions.","Assess learning baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"learning-optimizer","Learning Optimizer","learning & memory","optimizer","optimize","Learning","Optimizer optimizes Learning workflows for better performance.","Audit learning flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"learning-path-designer","Learning Path Designer","learning & memory","designer","generate","Learning Path","Designer creates concrete Learning Path outputs you can use immediately.","Interpret learning path direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"mastery-mountain","Mastery Mountain","learning & memory","mountain","coach","Mastery","Mountain gives targeted Mastery guidance with next actions.","Assess mastery baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"memory-mesh","Memory Mesh","learning & memory","mesh","coach","Memory","Mesh gives targeted Memory guidance with next actions.","Assess memory baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"memory-palace","Memory Palace","learning & memory","palace","coach","Memory","Palace gives targeted Memory guidance with next actions.","Assess memory baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"memory-trigger-creator","Memory Trigger Creator","learning & memory","creator","generate","Memory Trigger","Creator creates concrete Memory Trigger outputs you can use immediately.","Interpret memory trigger direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"mind-map-maze","Mind Map Maze","learning & memory","maze","coach","Mind Map","Maze gives targeted Mind Map guidance with next actions.","Assess mind map baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mistake-museum","Mistake Museum","learning & memory","museum","coach","Mistake","Museum gives targeted Mistake guidance with next actions.","Assess mistake baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"note-connection-web","Note Connection Web","learning & memory","web","coach","Note Connection","Web gives targeted Note Connection guidance with next actions.","Assess note connection baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"note-organizer","Note Organizer","learning & memory","organizer","plan","Note","Organizer structures Note input into a practical step-by-step plan.","Define note objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"pattern-prophet","Pattern Prophet","learning & memory","prophet","coach","Pattern","Prophet gives targeted Pattern guidance with next actions.","Assess pattern baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"question-quarry","Question Quarry","learning & memory","quarry","coach","Question","Quarry gives targeted Question guidance with next actions.","Assess question baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"recall-radar","Recall Radar","learning & memory","monitor","inspect","Recall","Monitor reviews Recall input, highlights signals, and flags risks.","Parse recall context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"reflection-reservoir","Reflection Reservoir","learning & memory","reservoir","coach","Reflection","Reservoir gives targeted Reflection guidance with next actions.","Assess reflection baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"repetition-rhythm","Repetition Rhythm","learning & memory","rhythm","coach","Repetition","Rhythm gives targeted Repetition guidance with next actions.","Assess repetition baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"retention-radar","Retention Radar","learning & memory","monitor","inspect","Retention","Monitor reviews Retention input, highlights signals, and flags risks.","Parse retention context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"review-rhythm","Review Rhythm","learning & memory","rhythm","coach","Review","Rhythm gives targeted Review guidance with next actions.","Assess review baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"review-schedule-generator","Review Schedule Generator","learning & memory","generator","generate","Review Schedule","Generator creates concrete Review Schedule outputs you can use immediately.","Interpret review schedule direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"skill-assessor","Skill Assessor","learning & memory","assessor","coach","Skill","Assessor gives targeted Skill guidance with next actions.","Assess skill baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"skill-scaffolder","Skill Scaffolder","learning & memory","scaffolder","coach","Skill","Scaffolder gives targeted Skill guidance with next actions.","Assess skill baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"skill-spiral","Skill Spiral","learning & memory","spiral","coach","Skill","Spiral gives targeted Skill guidance with next actions.","Assess skill baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"speed-reader","Speed Reader","learning & memory","reader","coach","Speed","Reader gives targeted Speed guidance with next actions.","Assess speed baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"study-session-optimizer","Study Session Optimizer","learning & memory","optimizer","optimize","Study Session","Optimizer optimizes Study Session workflows for better performance.","Audit study session flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"summary-synthesizer","Summary Synthesizer","learning & memory","synthesizer","coach","Summary","Synthesizer gives targeted Summary guidance with next actions.","Assess summary baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"synthesis-station","Synthesis Station","learning & memory","station","coach","Synthesis","Station gives targeted Synthesis guidance with next actions.","Assess synthesis baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"understanding-umbrella","Understanding Umbrella","learning & memory","umbrella","coach","Understanding","Umbrella gives targeted Understanding guidance with next actions.","Assess understanding baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"understanding-untier","Understanding Untier","learning & memory","untier","coach","Understanding","Untier gives targeted Understanding guidance with next actions.","Assess understanding baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
